population0,population12,population1,population2,population3,population4,population5,population6,population7,population8,population9,population10,population11,population13,population14
6717.4,6786.2000014,6715.2,6712.80000001,6730.29999998,6745.69999994,6759.69999989,6773.69999983,6787.69999972,6808.69999938,6817.09999971,6796.1000009,6795.00000103,6784.20000151,6779.30000174
15169.99,15223.39000033,15167.79,15165.39,15182.88999997,15198.28999993,15212.28999987,15226.2899998,15240.28999966,15261.28999902,15254.28999977,15233.29000045,15232.19000003,15221.39000043,15216.49000063
14883.0,14936.40014027,14880.8,14878.4,14895.89999997,14911.29999994,14925.29999989,14939.29999983,14953.29999972,14974.29999923,14967.30014213,14946.30014266,14945.20014002,14934.40014035,14929.5001405
10948.0,11012.60000029,10945.8,10943.4,10960.89999998,10976.29999995,10990.29999991,11004.29999986,11018.29999977,11039.29999947,11043.50000366,11022.50000438,11021.40000002,11010.60000037,11005.70000054
9922.0,9993.59999031,9919.8,9917.40000001,9934.89999999,9950.29999995,9964.29999991,9978.29999985,9992.29999976,10013.29999946,10024.49999233,10003.49999331,10002.39999003,9991.59999039,9986.69999057
18684.0,18766.80000088,18681.8,18679.40000001,18696.9,18712.29999995,18726.29999989,18740.29999982,18754.2999997,18775.29999936,18792.09999813,18776.70000002,18775.60000006,18764.8000011,18759.90000156
7537.0,7619.80000047,7534.80000001,7532.40000005,7549.90000028,7565.30000023,7579.30000018,7593.30000011,7607.3,7628.29999971,7645.09999878,7629.70000001,7628.60000004,7617.80000058,7612.90000082
1520.46,1546.15999276,1522.76,1525.15999999,1507.66000023,1497.85999586,1511.85999368,1525.85999265,1538.45998814,1548.25997654,1553.8599739,1549.65998387,1549.559984,1544.35999579,1541.45999047
4812.43,4874.23000117,4810.23,4807.83000001,4825.33,4840.72999997,4854.72999993,4868.72999988,4882.7299998,4903.72999951,4905.13000061,4884.13000106,4883.03000102,4872.23000122,4867.33000131
12372.0,12511.70000067,12374.3,12376.7,12423.59999994,12438.99999992,12452.99999989,12466.99999986,12480.99999981,12501.9999997,12518.79999953,12521.59999975,12520.50000006,12509.7000008,12504.80000117
5852.0,5899.80000111,5849.80000001,5847.40000004,5864.90000026,5880.30000023,5894.30000019,5908.30000013,5922.30000003,5943.29999954,5930.7000008,5909.70000112,5908.60000101,5897.80000114,5892.90000121
6990.0,7117.10000229,6992.3,6994.7,7041.59999991,7056.99999987,7070.99999983,7084.99999977,7098.9999997,7119.99999953,7136.79999921,7127.0000016,7125.90000203,7115.10000235,7110.20000249
726.0,559.50000027,723.7,721.3,674.4,659.0,645.0,631.0,617.00000001,596.00000001,579.20000001,561.00000005,561.10000005,559.10000052,557.60000069
5954.0,5942.40000258,5951.8,5949.4,5966.89999997,5982.29999992,5996.29999986,6010.2999997,6006.10000009,5985.10000071,5968.30000158,5947.30000207,5946.20000203,5941.80000277,5937.30000292
3690.02,3721.82000399,3692.22,3694.62,3705.11999998,3720.51999994,3734.51999987,3745.71999969,3748.52000451,3747.12000502,3742.92000451,3727.52000438,3726.42000401,3721.42000393,3717.51999906
894.0,901.2000002,896.2,898.6,895.10000001,896.50000005,897.90000006,900.69999981,903.5,906.3,904.90000013,902.10000021,901.6000002,901.00000019,899.50000021
1025.0,1112.99999907,1027.2,1029.6,1076.49999989,1086.29999983,1094.69999971,1098.89999961,1110.0999992,1121.29999923,1119.89999911,1117.09999889,1117.199999,1111.79999907,1111.49999907
3789.0,3792.99999697,3791.2,3793.59999998,3776.09999981,3760.69999983,3746.69999986,3732.69999991,3724.29999782,3745.29999752,3762.09999744,3783.09999737,3784.199997,3794.99999696,3799.89999694
