,Unnamed: 0,name,lng,lat,geometry,x,y
42,42,徐州,117.29235,34.210143,POINT (13056924.675946422 4057054.1208230755),13056924.675946422,4057054.1208230755
43,43,德州,116.365825,37.441313,POINT (12953784.384739183 4500799.95095218),12953784.384739183,4500799.95095218
44,44,惠州,114.423348,23.116409,POINT (12737548.834221538 2646102.4205567203),12737548.834221538,2646102.4205567203
45,45,成都,104.071216,30.576279,POINT (11585154.771356786 3577842.3065477177),11585154.771356786,3577842.3065477177
46,46,扬州,119.419107,32.39986,POINT (13293674.182227451 3815913.674652819),13293674.182227451,3815913.674652819
47,47,承德,117.969798,40.957855,POINT (13132337.842345344 5006127.272001079),13132337.842345344,5006127.272001079
48,48,拉萨,91.121025,29.650088,POINT (10143546.10356115 3458650.7490879116),10143546.10356115,3458650.7490879116
49,49,无锡,120.318954,31.496704,POINT (13393844.692059306 3697425.016835939),13393844.692059306,3697425.016835939
50,50,日照,119.533606,35.422798,POINT (13306420.15260379 4221487.18013393),13306420.15260379,4221487.18013393
51,51,昆明,102.839667,24.885953,POINT (11448059.363789821 2861743.007884044),11448059.363789821,2861743.007884044
52,52,杭州,120.161693,30.280059,POINT (13376338.477617666 3539599.8519300465),13376338.477617666,3539599.8519300465
53,53,枣庄,117.328513,34.816569,POINT (13060950.322691979 4138981.459707837),13060950.322691979,4138981.459707837
54,54,柳州,109.42198,24.331519,POINT (12180799.095191766 2793857.492478066),12180799.095191766,2793857.492478066
55,55,株洲,113.140431,27.833737,POINT (12594735.167051505 3228027.9547103117),12594735.167051505,3228027.9547103117
56,56,武汉,114.311831,30.598428,POINT (12725134.818566745 3580706.4558545137),12725134.818566745,3580706.4558545137
57,57,汕头,116.688739,23.359289,POINT (12989731.006789202 2675526.7801641277),12989731.006789202,2675526.7801641277
58,58,江门,113.088165,22.584459,POINT (12588916.942545703 2581842.737780342),12588916.942545703,2581842.737780342
59,59,沈阳,123.438973,41.811339,POINT (13741163.618404647 5132760.701225166),13741163.618404647,5132760.701225166
60,60,沧州,116.845272,38.31022,POINT (13007156.180641545 4623342.6626814315),13007156.180641545,4623342.6626814315
61,61,河源,114.707097,23.749829,POINT (12769135.62841464 2722953.179958813),12769135.62841464,2722953.179958813
62,62,泉州,118.682316,24.880242,POINT (13211654.983286384 2861042.2055137884),13211654.983286384,2861042.2055137884
63,63,泰安,117.094893,36.205905,POINT (13034943.863252854 4328990.695766239),13034943.863252854,4328990.695766239
64,64,泰州,119.932115,32.4612,POINT (13350781.971560325 3824003.717330201),13350781.971560325,3824003.717330201
65,65,济南,117.001319,36.671627,POINT (13024527.253221363 4393434.129847852),13024527.253221363,4393434.129847852
66,66,济宁,116.593852,35.420269,POINT (12979168.2342663 4221141.710102814),12979168.2342663,4221141.710102814
67,67,海口,110.206424,20.050057,POINT (12268123.001827603 2278961.809580913),12268123.001827603,2278961.809580913
68,68,淄博,118.061254,36.819182,POINT (13142518.677695332 4413932.969448443),13142518.677695332,4413932.969448443
69,69,淮安,119.022429,33.616272,POINT (13249516.189258559 3977392.3788315216),13249516.189258559,3977392.3788315216
