,name,lng,lat,geometry,x,y
55,白山市,126.4084072,41.94161921,POINT (14071719.521492777 5152238.292521276),14071719.521492777,5152238.292521276
56,松原市,124.819034,45.13994034,POINT (13894791.3061883 5643579.198673499),13894791.3061883,5643579.198673499
57,白城市,122.832229,45.61822118,POINT (13673621.18528277 5719378.555470226),13673621.18528277,5719378.555470226
58,延边朝鲜族自治州,129.4635379,42.90684896,POINT (14411815.115323676 5297804.039607558),14411815.115323676,5297804.039607558
59,哈尔滨市,126.52901,45.80099936,POINT (14085144.963777019 5748516.375344596),14085144.963777019,5748516.375344596
60,齐齐哈尔市,123.9116429,47.35285251,POINT (13793780.990985954 5999859.9719706215),13793780.990985954,5999859.9719706215
61,鸡西市,130.9619287,45.29292245,POINT (14578615.216188999 5667754.61604774),14578615.216188999,5667754.61604774
62,鹤岗市,130.2898335,47.34821513,POINT (14503797.920760393 5999098.020342985),14503797.920760393,5999098.020342985
63,双鸭山市,131.1334116,46.67389089,POINT (14597704.605296753 5889006.266834373),14597704.605296753,5889006.266834373
64,大庆市,125.0970244,46.58739424,POINT (13925737.05596172 5874984.448871083),13925737.05596172,5874984.448871083
65,伊春市,128.8338097,47.72606495,POINT (14341714.092761507 6061402.198631979),14341714.092761507,6061402.198631979
66,佳木斯市,130.3111234,46.79778051,POINT (14506167.901587438 5909128.942713915),14506167.901587438,5909128.942713915
67,七台河市,130.9953112,45.76895374,POINT (14582331.339090405 5743400.885853399),14582331.339090405,5743400.885853399
68,牡丹江市,129.6258515,44.54951981,POINT (14429883.7826245 5550879.218647856),14429883.7826245,5550879.218647856
69,黑河市,127.5209429,50.24326368,POINT (14195566.429106114 6488511.897418687),14195566.429106114,6488511.897418687
70,绥化市,126.9623911,46.65224576,POINT (14133388.727148449 5885495.310367397),14133388.727148449,5885495.310367397
71,大兴安岭地区,124.1102398,50.40959993,POINT (13815888.696767075 6517515.845658675),13815888.696767075,6517515.845658675
72,上海市,121.4691438,31.23246711,POINT (13521883.234910924 3662976.36596529),13521883.234910924,3662976.36596529
73,南京市,118.7914401,32.06141907,POINT (13223802.62253166 3771375.5374371405),13223802.62253166,3771375.5374371405
74,无锡市,120.3072804,31.4929532,POINT (13392545.19285158 3696935.3447883516),13392545.19285158,3696935.3447883516
75,徐州市,117.2779994,34.2055149,POINT (13055327.174461843 4056431.15178872),13055327.174461843,4056431.15178872
76,常州市,119.9693417,31.81335379,POINT (13354926.02884824 3738835.2706349106),13354926.02884824,3738835.2706349106
77,苏州市,120.5811165,31.30194236,POINT (13423028.488064399 3672024.5034171613),13423028.488064399,3672024.5034171613
78,南通市,120.8903063,31.98343916,POINT (13457447.339158874 3761136.955809313),13457447.339158874,3761136.955809313
79,连云港市,119.2159551,34.59767379,POINT (13271059.416165765 4109340.1454766975),13271059.416165765,4109340.1454766975
80,淮安市,119.1075448,33.55277707,POINT (13258991.23677302 3968907.8358937134),13258991.23677302,3968907.8358937134
81,盐城市,120.1576841,33.34961253,POINT (13375892.208911024 3941801.6553274286),13375892.208911024,3941801.6553274286
82,扬州市,119.4073537,32.39628357,POINT (13292365.81085631 3815442.154225676),13292365.81085631,3815442.154225676
83,镇江市,119.4189943,32.1900185,POINT (13293661.636520837 3788279.434803481),13293661.636520837,3788279.434803481
84,泰州市,119.9181467,32.45891467,POINT (13349227.02751708 3823702.2097682776),13349227.02751708,3823702.2097682776
