,name,lng,lat,geometry,x,y
85,宿迁市,118.275228,33.963186,POINT (13166338.154418333 4023859.8759001796),13166338.15,4023859.876
86,杭州市,120.210792,30.246026,POINT (13381804.153296124 3535213.5545345442),13381804.15,3535213.555
87,宁波市,121.62454,29.860258,POINT (13539181.860766133 3485599.9295457103),13539181.86,3485599.93
88,温州市,120.699279,27.993849,POINT (13436182.277395258 3248198.311408808),13436182.28,3248198.311
89,嘉兴市,120.755623,30.746814,POINT (13442454.462784514 3599911.590130382),13442454.46,3599911.59
90,湖州市,120.086881,30.894178,POINT (13368010.44387244 3619013.7545282734),13368010.44,3619013.755
91,绍兴市,120.582886,30.051549,POINT (13423225.467903355 3510177.7092479398),13423225.47,3510177.709
92,金华市,119.647265,29.079195,POINT (13319072.614607865 3385729.650471985),13319072.61,3385729.65
93,衢州市,118.859307,28.970229,POINT (13231357.531281376 3371857.3991139913),13231357.53,3371857.399
94,舟山市,122.207395,29.985578,POINT (13604064.982572448 3501696.1645465093),13604064.98,3501696.165
95,台州市,121.42079,28.655716,POINT (13516500.514517004 3331898.9487954103),13516500.51,3331898.949
96,丽水市,119.923249,28.467694,POINT (13349795.012954952 3308068.294883404),13349795.01,3308068.295
97,合肥市,117.227267,31.820567,POINT (13049679.66952712 3739780.2349919262),13049679.67,3739780.235
98,芜湖市,118.433065,31.352614,POINT (13183908.48888667 3678627.9525474934),13183908.49,3678627.953
99,蚌埠市,117.388566,32.91682,POINT (13067635.392072586 3884268.4070104393),13067635.39,3884268.407
100,淮南市,117.018603,32.585384,POINT (13026451.299300235 3840399.0541571765),13026451.3,3840399.054
101,马鞍山市,118.50685,31.668765,POINT (13192122.19751485 3719908.990835727),13192122.2,3719908.991
102,淮北市,116.798362,33.956264,POINT (13001934.183328433 4022930.8606660957),13001934.18,4022930.861
103,铜陵市,117.811298,30.945214,POINT (13114693.703054609 3625636.1804569755),13114693.7,3625636.18
104,安庆市,117.115349,30.531828,POINT (13037221.014756521 3572096.195964875),13037221.01,3572096.196
105,黄山市,118.337643,29.714886,POINT (13173286.160436196 3466953.4917751956),13173286.16,3466953.492
106,滁州市,118.333439,32.255904,POINT (13172818.1732969 3796949.0782367205),13172818.17,3796949.078
107,阜阳市,115.814252,32.891032,POINT (12892383.559243863 3880849.199746239),12892383.56,3880849.2
108,宿州市,116.96419,33.647726,POINT (13020394.071847701 3981597.750773078),13020394.07,3981597.751
109,六安市,116.519729,31.735892,POINT (12970916.899650231 3728692.0587801873),12970916.9,3728692.059
110,亳州市,115.778588,33.846285,POINT (12888413.460924216 4008180.4851837517),12888413.46,4008180.485
111,池州市,117.495663,30.674264,POINT (13079557.375578074 3590517.985521214),13079557.38,3590517.986
112,宣城市,118.759127,30.939278,POINT (13220205.544693707 3624865.7440959536),13220205.54,3624865.744
113,福州市,119.296411,26.074286,POINT (13280015.725985082 3008284.4955002456),13280015.73,3008284.496
114,厦门市,118.08891,24.479627,POINT (13145597.32953271 2811962.617124306),13145597.33,2811962.617
115,莆田市,119.007662,25.454202,POINT (13247872.334338011 2931637.060884073),13247872.33,2931637.061
116,三明市,117.638919,26.263455,POINT (13095504.560551157 3031747.732511577),13095504.56,3031747.733
117,泉州市,118.675724,24.874452,POINT (13210921.165203076 2860331.742046504),13210921.17,2860331.742
118,漳州市,117.647298,24.515297,POINT (13096437.306564514 2816326.194236711),13096437.31,2816326.194
119,南平市,118.081325,27.382829,POINT (13144752.971195044 3171383.1329948814),13144752.97,3171383.133
120,龙岩市,117.017362,25.075884,POINT (13026313.15181216 2885068.146019538),13026313.15,2885068.146
121,宁德市,119.547729,26.666222,POINT (13307992.317772264 3081832.131382039),13307992.32,3081832.131
122,南昌市,115.857972,28.682976,POINT (12897250.44738135 3335357.5299593573),12897250.45,3335357.53
123,景德镇市,117.184892,29.2744,POINT (13044962.50610476 3410617.5799443526),13044962.51,3410617.58
124,萍乡市,113.887147,27.658721,POINT (12677859.211938694 3206014.0548914303),12677859.21,3206014.055
125,九江市,115.95356,29.66116,POINT (12907891.254867293 3460069.0553531437),12907891.25,3460069.055
126,新余市,114.916665,27.818553,POINT (12792464.631461203 3226116.674524969),12792464.63,3226116.675
127,鹰潭市,117.039532,28.272092,POINT (13028781.104923047 3283321.878279318),13028781.1,3283321.878
128,赣州市,114.933494,25.831139,POINT (12794338.027171763 2978181.772417541),12794338.03,2978181.772
129,吉安市,114.96681,27.091243,POINT (12798046.747327032 3134875.9884338295),12798046.75,3134875.988
130,宜春市,114.416826,27.816245,POINT (12736822.808502585 3225826.179312035),12736822.81,3225826.179
131,抚州市,116.358054,27.948979,POINT (12952919.32097623 3242542.730359307),12952919.32,3242542.73
132,上饶市,117.943064,28.45513,POINT (13129361.827078478 3306477.398287999),13129361.83,3306477.398
133,济南市,117.120128,36.652069,POINT (13037753.01060302 4390720.020166713),13037753.01,4390720.02
134,青岛市,120.382665,36.066938,POINT (13400936.968137236 4309835.850942095),13400936.97,4309835.851
135,淄博市,118.054994,36.813787,POINT (13141821.817682965 4413182.782818583),13141821.82,4413182.783
136,枣庄市,117.323759,34.810858,POINT (13060421.109832749 4138207.1163884844),13060421.11,4138207.116
137,东营市,118.674633,37.433992,POINT (13210799.715638619 4499773.560166906),13210799.72,4499773.56
138,烟台市,121.447755,37.464551,POINT (13519502.244586244 4504058.541432003),13519502.24,4504058.541
139,潍坊市,119.161721,36.707668,POINT (13265022.103770135 4398437.431874882),13265022.1,4398437.432
140,济宁市,116.587116,35.415117,POINT (12978418.386176318 4220437.962867729),12978418.39,4220437.963
141,泰安市,117.086963,36.201784,POINT (13034061.099690862 4328422.179389762),13034061.1,4328422.179
142,威海市,122.120519,37.513315,POINT (13594393.99049029 4510899.855876287),13594393.99,4510899.856
143,日照市,119.52685,35.416912,POINT (13305668.078123992 4220683.149197475),13305668.08,4220683.149
144,临沂市,118.356464,35.103771,POINT (13175381.304572415 4177992.1657125778),13175381.3,4177992.166
145,德州市,116.359244,37.436492,POINT (12953051.791170273 4500124.0442968765),12953051.79,4500124.044
146,聊城市,115.985238,36.455857,POINT (12911417.633696642 4363529.252761416),12911417.63,4363529.253
147,滨州市,117.970731,37.382687,POINT (13132441.703430254 4492583.507975336),13132441.7,4492583.508
148,菏泽市,115.479646,35.234309,POINT (12855135.38970749 4195768.566391292),12855135.39,4195768.566
149,郑州市,113.625351,34.746303,POINT (12648716.214526977 4129457.958243366),12648716.21,4129457.958
150,开封市,114.314278,34.798083,POINT (12725407.217360716 4136475.1733841845),12725407.22,4136475.173
151,洛阳市,112.453895,34.619702,POINT (12518310.329120254 4112319.5129371365),12518310.33,4112319.513
