name,lng,lat
南阳市,112.5227068,32.9922183
商丘市,115.6508492,34.41653095
信阳市,114.085171,32.1505687
周口市,114.6957389,33.63619922
驻马店市,114.0161046,33.015849
济源市,112.5964105,35.06992408
武汉市,114.2991253,30.59576481
黄石市,115.0336099,30.20350323
十堰市,110.7936018,32.63124796
宜昌市,111.2813014,30.69460826
襄阳市,112.1156613,32.01211749
鄂州市,114.8898681,30.39415688
荆门市,112.1931806,31.03765933
孝感市,113.9514382,30.92073233
荆州市,112.2357205,30.33883907
黄冈市,114.8673627,30.45638767
咸宁市,114.3171943,29.84381529
随州市,113.3761067,31.69214889
恩施土家族苗族自治州,109.483206,30.27467285
仙桃市,113.4369243,30.33080156
潜江市,112.8946969,30.40467719
天门市,113.160526,30.66605056
神农架林区,110.6707861,31.74728789
长沙市,112.933432,28.23181145
株洲市,113.1269527,27.83200163
湘潭市,112.9400052,27.83480661
衡阳市,112.5667809,26.89780145
邵阳市,111.4622915,27.24277281
岳阳市,113.1229579,29.35903584
常德市,111.6934394,29.03446997
张家界市,110.4739436,29.1202066
益阳市,112.3502833,28.55800079
郴州市,113.0100065,25.77307268
永州市,111.6082361,26.42344711
怀化市,109.9969076,27.57312105
娄底市,111.9889506,27.70315142
湘西土家族苗族自治州,109.7326965,28.31598291
广州市,113.2591693,23.13273722
韶关市,113.5921343,24.81403762
深圳市,114.0528249,22.54624409
珠海市,113.5718532,22.27465991
汕头市,116.6774881,23.35680908
佛山市,113.1161032,23.02390428
江门市,113.0760986,22.58163919
湛江市,110.3530451,21.27249285
茂名市,110.9210208,21.66550359
肇庆市,112.4599904,23.05036818
惠州市,114.4106185,23.11486532
梅州市,116.1172196,24.29145899
汕尾市,115.3706153,22.78983795
河源市,114.6955151,23.74692674
阳江市,111.978351,21.85957982
清远市,113.050616,23.6845243
东莞市,113.746691,23.02373844
中山市,113.3870348,22.5197135
潮州市,116.6175368,23.66040886
揭阳市,116.3680228,23.55336548
云浮市,112.0392034,22.91782059
南宁市,108.3623356,22.82038611
柳州市,109.423471,24.32914249
桂林市,110.1751278,25.23840009
梧州市,111.2739143,23.47932461
北海市,109.1159551,21.48369266
防城港市,108.3506746,21.68921758
